customer_id,first_name,last_name,gender,age,city,state,region,customer_segment,signup_date
10001,Nikhil,Nair,Female,21,Lucknow,Uttar Pradesh,North,Consumer,12/12/2025
10002,Vikram,Nair,Other,50,Hyderabad,Telangana,South,Consumer,8/27/2024
10003,Karan,Dutta,Male,48,Bhubaneswar,Odisha,East,Consumer,2/11/2023
10004,Sneha,Khan,Male,60,Jaipur,Rajasthan,North,Small Business,8/27/2025
10005,Meera,Jain,Female,45,Kolkata,West Bengal,East,Consumer,10/23/2025
10006,Riya,Roy,Male,50,Bhopal,Madhya Pradesh,Central,Consumer,10/28/2023
10007,Priya,Dutta,Female,35,Lucknow,Uttar Pradesh,North,Small Business,3/8/2024
10008,Tanya,Das,Female,36,Patna,Bihar,East,Corporate,1/29/2023
10009,Ishita,Jain,Female,37,Mumbai,Maharashtra,West,Consumer,5/15/2025
10010,Ananya,Patel,Male,64,Hyderabad,Telangana,South,Corporate,4/17/2025
10011,Aditya,Malhotra,Male,40,Chennai,Tamil Nadu,South,Consumer,1/23/2023
10012,Priya,Reddy,Female,59,Ludhiana,Punjab,North,Consumer,1/28/2025
10013,Vikram,Bose,Male,33,Ahmedabad,Gujarat,West,Consumer,3/20/2024
10014,Rahul,Jain,Female,50,Bhubaneswar,Odisha,East,Consumer,8/12/2024
10015,Sneha,Banerjee,Male,31,Hyderabad,Telangana,South,Consumer,8/24/2023
10016,Nikhil,Roy,Male,37,Mumbai,Maharashtra,West,Corporate,5/30/2025
10017,Riya,Reddy,Male,59,New Delhi,Delhi,North,Consumer,3/12/2024
10018,Kavya,Iyer,Male,50,Kolkata,West Bengal,East,Consumer,6/26/2025
10019,Riya,Bose,Female,41,Bhubaneswar,Odisha,East,Small Business,6/10/2023
10020,Ishita,Chatterjee,Female,37,Ahmedabad,Gujarat,West,Small Business,9/26/2024
10021,Pooja,Chatterjee,Female,56,Lucknow,Uttar Pradesh,North,Corporate,12/1/2023
10022,Tanya,Khan,Female,25,Chennai,Tamil Nadu,South,Corporate,11/9/2025
10023,Priya,Verma,Male,58,Bhopal,Madhya Pradesh,Central,Small Business,8/24/2024
10024,Riya,Verma,Male,47,Kochi,Kerala,South,Corporate,2/16/2025
10025,Kavya,Ghosh,Female,33,Lucknow,Uttar Pradesh,North,Consumer,4/4/2023
10026,Meera,Chatterjee,Male,51,Mumbai,Maharashtra,West,Consumer,1/1/2025
10027,Neha,Singh,Male,65,Hyderabad,Telangana,South,Consumer,4/20/2023
10028,Riya,Roy,Male,34,Kolkata,West Bengal,East,Consumer,1/26/2024
10029,Vikram,Sharma,Female,36,Mumbai,Maharashtra,West,Consumer,8/29/2023
10030,Sneha,Iyer,Male,62,Jaipur,Rajasthan,North,Consumer,1/3/2023
10031,Ishita,Nair,Male,34,Lucknow,Uttar Pradesh,North,Consumer,9/25/2024
10032,Riya,Roy,Female,59,Gurugram,Haryana,North,Consumer,9/18/2023
10033,Rohan,Chatterjee,Female,61,Bengaluru,Karnataka,South,Consumer,7/7/2024
10034,Tanya,Sharma,Male,45,Chennai,Tamil Nadu,South,Consumer,4/5/2025
10035,Arjun,Malhotra,Female,21,Hyderabad,Telangana,South,Consumer,7/12/2023
10036,Nikhil,Nair,Male,20,Mumbai,Maharashtra,West,Consumer,2/5/2025
10037,Vikram,Nair,Male,31,Mumbai,Maharashtra,West,Consumer,11/17/2023
10038,Neha,Chatterjee,Male,18,Hyderabad,Telangana,South,Consumer,12/24/2023
10039,Nikhil,Khan,Male,54,Mumbai,Maharashtra,West,Corporate,9/15/2024
10040,Rahul,Reddy,Male,48,Jaipur,Rajasthan,North,Small Business,11/6/2024
10041,Tanya,Chatterjee,Female,39,Hyderabad,Telangana,South,Consumer,12/8/2024
10042,Priya,Singh,Male,57,Bhubaneswar,Odisha,East,Corporate,7/30/2023
10043,Rohan,Dutta,Female,24,Lucknow,Uttar Pradesh,North,Small Business,9/17/2024
10044,Aditya,Chatterjee,Male,42,Bengaluru,Karnataka,South,Small Business,10/12/2023
10045,Karan,Sen,Male,34,Bhubaneswar,Odisha,East,Corporate,10/27/2023
10046,Rohan,Dutta,Female,19,Patna,Bihar,East,Consumer,10/20/2025
10047,Kavya,Roy,Female,40,Chennai,Tamil Nadu,South,Consumer,4/19/2023
10048,Arjun,Ghosh,Male,24,Bengaluru,Karnataka,South,Consumer,3/22/2024
10049,Pooja,Nair,Male,20,Jaipur,Rajasthan,North,Consumer,4/19/2024
10050,Pooja,Reddy,Female,28,Mumbai,Maharashtra,West,Consumer,9/22/2023
10051,Vikram,Mehta,Male,27,Mumbai,Maharashtra,West,Small Business,4/28/2025
10052,Karan,Reddy,Female,48,Kolkata,West Bengal,East,Consumer,6/10/2024
10053,Amit,Gupta,Female,56,Patna,Bihar,East,Consumer,2/15/2025
10054,Nikhil,Bose,Male,41,Jaipur,Rajasthan,North,Small Business,2/22/2024
10055,Rahul,Roy,Female,48,Lucknow,Uttar Pradesh,North,Consumer,8/26/2025
10056,Ishita,Reddy,Male,22,Patna,Bihar,East,Consumer,2/26/2025
10057,Neha,Jain,Female,55,Hyderabad,Telangana,South,Consumer,12/26/2023
10058,Rohan,Ghosh,Female,42,New Delhi,Delhi,North,Consumer,11/5/2025
10059,Tanya,Das,Female,38,Mumbai,Maharashtra,West,Consumer,7/23/2025
10060,Vikram,Banerjee,Other,59,Kolkata,West Bengal,East,Consumer,10/1/2024
10061,Neha,Patel,Female,33,Jaipur,Rajasthan,North,Consumer,1/18/2023
10062,Ananya,Dutta,Male,39,Hyderabad,Telangana,South,Consumer,9/30/2024
10063,Aditya,Khan,Male,62,New Delhi,Delhi,North,Corporate,1/16/2025
10064,Karan,Bose,Male,25,Lucknow,Uttar Pradesh,North,Consumer,1/30/2024
10065,Aditya,Dutta,Male,43,Ahmedabad,Gujarat,West,Consumer,6/5/2023
10066,Kavya,Patel,Female,45,New Delhi,Delhi,North,Consumer,9/1/2024
10067,Aarav,Jain,Male,51,New Delhi,Delhi,North,Corporate,5/15/2025
10068,Ananya,Sen,Female,62,Bengaluru,Karnataka,South,Consumer,12/11/2023
10069,Rohan,Patel,Male,34,Kolkata,West Bengal,East,Consumer,5/7/2024
10070,Rohan,Gupta,Male,23,Hyderabad,Telangana,South,Consumer,1/2/2023
10071,Sahil,Iyer,Male,37,Mumbai,Maharashtra,West,Consumer,1/30/2025
10072,Meera,Malhotra,Other,25,Chennai,Tamil Nadu,South,Corporate,7/24/2025
10073,Ishita,Nair,Male,52,Bhubaneswar,Odisha,East,Small Business,4/18/2025
10074,Vikram,Roy,Male,45,Mumbai,Maharashtra,West,Consumer,4/8/2024
10075,Priya,Gupta,Male,54,Kolkata,West Bengal,East,Consumer,2/18/2023
10076,Vikram,Sen,Other,34,Bengaluru,Karnataka,South,Consumer,6/15/2024
10077,Amit,Chatterjee,Male,63,Bengaluru,Karnataka,South,Corporate,10/12/2025
10078,Amit,Iyer,Female,60,Jaipur,Rajasthan,North,Consumer,4/1/2023
10079,Tanya,Sharma,Male,61,New Delhi,Delhi,North,Consumer,8/20/2023
10080,Neha,Das,Male,52,Patna,Bihar,East,Small Business,6/23/2025
10081,Rohan,Das,Female,26,Jaipur,Rajasthan,North,Consumer,9/5/2024
10082,Riya,Reddy,Female,25,Chennai,Tamil Nadu,South,Corporate,7/3/2023
10083,Pooja,Iyer,Female,63,Patna,Bihar,East,Consumer,1/27/2023
10084,Sahil,Banerjee,Male,59,Mumbai,Maharashtra,West,Small Business,3/19/2024
10085,Neha,Jain,Other,60,Kolkata,West Bengal,East,Corporate,10/4/2024
10086,Nikhil,Singh,Female,48,Kolkata,West Bengal,East,Consumer,6/26/2025
10087,Rohan,Sharma,Female,59,Lucknow,Uttar Pradesh,North,Consumer,8/12/2025
10088,Riya,Gupta,Male,41,Hyderabad,Telangana,South,Consumer,5/9/2024
10089,Karan,Roy,Male,25,Mumbai,Maharashtra,West,Consumer,4/1/2024
10090,Aarav,Jain,Male,30,New Delhi,Delhi,North,Consumer,10/2/2025
10091,Riya,Bose,Female,58,Mumbai,Maharashtra,West,Small Business,4/19/2025
10092,Amit,Ghosh,Female,49,Jaipur,Rajasthan,North,Corporate,8/15/2023
10093,Aditya,Dutta,Male,65,Hyderabad,Telangana,South,Small Business,1/5/2025
10094,Karan,Banerjee,Male,61,Chennai,Tamil Nadu,South,Consumer,2/11/2025
10095,Amit,Roy,Male,54,Bengaluru,Karnataka,South,Consumer,9/10/2023
10096,Sneha,Sen,Male,19,Ahmedabad,Gujarat,West,Consumer,11/22/2025
10097,Karan,Patel,Female,26,Chennai,Tamil Nadu,South,Consumer,11/17/2023
10098,Vikram,Dutta,Male,36,Kolkata,West Bengal,East,Consumer,8/16/2024
10099,Neha,Ghosh,Male,19,Kolkata,West Bengal,East,Consumer,6/17/2024
10100,Amit,Jain,Male,62,Gurugram,Haryana,North,Consumer,1/17/2025
10101,Sneha,Gupta,Male,28,Ludhiana,Punjab,North,Consumer,8/31/2025
10102,Vikram,Chatterjee,Female,36,Jaipur,Rajasthan,North,Consumer,2/29/2024
10103,Neha,Sen,Male,50,Bengaluru,Karnataka,South,Consumer,2/20/2024
10104,Aarav,Verma,Female,19,Gurugram,Haryana,North,Corporate,3/22/2025
10105,Rahul,Nair,Female,48,Lucknow,Uttar Pradesh,North,Corporate,10/25/2025
10106,Riya,Reddy,Female,22,Lucknow,Uttar Pradesh,North,Consumer,9/8/2025
10107,Ananya,Mehta,Male,61,Hyderabad,Telangana,South,Consumer,3/23/2025
10108,Aditya,Chatterjee,Female,51,Bengaluru,Karnataka,South,Consumer,1/29/2025
10109,Nikhil,Mehta,Female,34,Kolkata,West Bengal,East,Consumer,4/10/2025
10110,Nikhil,Verma,Male,51,Ludhiana,Punjab,North,Consumer,10/7/2025
10111,Kavya,Dutta,Female,33,Hyderabad,Telangana,South,Consumer,1/12/2023
10112,Neha,Reddy,Male,23,Mumbai,Maharashtra,West,Small Business,9/27/2024
10113,Rahul,Sen,Male,18,Bengaluru,Karnataka,South,Consumer,2/6/2023
10114,Sneha,Malhotra,Male,28,New Delhi,Delhi,North,Consumer,9/15/2024
10115,Kavya,Banerjee,Female,51,Mumbai,Maharashtra,West,Consumer,3/2/2024
10116,Nikhil,Chatterjee,Male,45,Bhubaneswar,Odisha,East,Small Business,11/25/2023
10117,Tanya,Iyer,Male,31,Lucknow,Uttar Pradesh,North,Consumer,8/20/2025
10118,Sneha,Jain,Male,50,Lucknow,Uttar Pradesh,North,Small Business,2/5/2025
10119,Ishita,Malhotra,Male,36,Hyderabad,Telangana,South,Corporate,9/4/2024
10120,Vikram,Verma,Male,25,Ahmedabad,Gujarat,West,Corporate,8/10/2025
10121,Riya,Chatterjee,Female,50,Ahmedabad,Gujarat,West,Consumer,4/16/2023
10122,Aarav,Iyer,Male,39,Ahmedabad,Gujarat,West,Consumer,11/29/2024
10123,Arjun,Jain,Female,49,Kolkata,West Bengal,East,Corporate,6/18/2023
10124,Amit,Singh,Female,44,Chennai,Tamil Nadu,South,Small Business,9/9/2023
10125,Rahul,Chatterjee,Female,22,Kolkata,West Bengal,East,Small Business,7/19/2023
10126,Amit,Mehta,Female,20,Hyderabad,Telangana,South,Small Business,8/10/2024
10127,Sneha,Banerjee,Male,22,Bengaluru,Karnataka,South,Consumer,11/10/2024
10128,Kavya,Khan,Female,28,Mumbai,Maharashtra,West,Consumer,3/27/2025
10129,Aarav,Chatterjee,Male,28,Kolkata,West Bengal,East,Consumer,4/20/2024
10130,Rohan,Sen,Male,62,Ahmedabad,Gujarat,West,Consumer,10/11/2025
10131,Rahul,Sharma,Male,55,Mumbai,Maharashtra,West,Consumer,2/8/2024
10132,Aditya,Dutta,Female,60,Ludhiana,Punjab,North,Consumer,6/19/2023
10133,Neha,Verma,Female,40,Ahmedabad,Gujarat,West,Consumer,2/9/2023
10134,Ananya,Singh,Male,33,Chennai,Tamil Nadu,South,Consumer,5/18/2023
10135,Pooja,Roy,Female,37,Ahmedabad,Gujarat,West,Consumer,4/25/2024
10136,Tanya,Bose,Male,59,Kolkata,West Bengal,East,Consumer,3/21/2024
10137,Arjun,Sen,Male,35,Gurugram,Haryana,North,Consumer,7/11/2025
10138,Riya,Gupta,Male,48,Hyderabad,Telangana,South,Consumer,5/16/2023
10139,Tanya,Banerjee,Female,24,Patna,Bihar,East,Corporate,10/11/2023
10140,Karan,Sharma,Female,65,Kolkata,West Bengal,East,Consumer,11/24/2025
10141,Nikhil,Mehta,Male,48,Hyderabad,Telangana,South,Consumer,1/31/2023
10142,Amit,Sharma,Male,64,Hyderabad,Telangana,South,Consumer,4/3/2024
10143,Amit,Bose,Female,32,Gurugram,Haryana,North,Consumer,8/3/2023
10144,Ananya,Verma,Female,47,New Delhi,Delhi,North,Consumer,7/30/2024
10145,Vikram,Roy,Male,31,Hyderabad,Telangana,South,Corporate,11/17/2025
10146,Sneha,Banerjee,Female,40,Bengaluru,Karnataka,South,Consumer,9/3/2023
10147,Sahil,Singh,Female,33,Bengaluru,Karnataka,South,Small Business,2/4/2024
10148,Arjun,Sen,Male,24,New Delhi,Delhi,North,Consumer,4/30/2024
10149,Arjun,Patel,Male,39,Hyderabad,Telangana,South,Consumer,5/12/2025
10150,Neha,Nair,Female,43,Kolkata,West Bengal,East,Small Business,11/29/2025
10151,Tanya,Reddy,Male,25,Bhubaneswar,Odisha,East,Corporate,4/15/2023
10152,Tanya,Banerjee,Male,37,Kochi,Kerala,South,Consumer,6/11/2024
10153,Neha,Das,Female,22,Mumbai,Maharashtra,West,Consumer,3/23/2025
10154,Aditya,Das,Female,48,New Delhi,Delhi,North,Consumer,1/10/2023
10155,Priya,Bose,Female,33,Kolkata,West Bengal,East,Corporate,5/20/2025
10156,Tanya,Sen,Female,22,Jaipur,Rajasthan,North,Consumer,9/19/2023
10157,Ananya,Gupta,Male,42,Bengaluru,Karnataka,South,Consumer,7/13/2024
10158,Aarav,Patel,Female,58,Jaipur,Rajasthan,North,Consumer,11/22/2025
10159,Vikram,Nair,Male,65,Lucknow,Uttar Pradesh,North,Small Business,11/16/2024
10160,Sneha,Das,Female,64,Lucknow,Uttar Pradesh,North,Consumer,12/4/2025
10161,Ishita,Dutta,Male,26,Kolkata,West Bengal,East,Small Business,10/13/2024
10162,Nikhil,Roy,Male,28,Ludhiana,Punjab,North,Consumer,8/16/2023
10163,Priya,Das,Male,60,Mumbai,Maharashtra,West,Consumer,1/18/2025
10164,Meera,Chatterjee,Female,48,Kolkata,West Bengal,East,Consumer,10/26/2024
10165,Rahul,Khan,Female,44,New Delhi,Delhi,North,Consumer,12/2/2023
10166,Rohan,Nair,Female,56,Chennai,Tamil Nadu,South,Consumer,3/25/2023
10167,Arjun,Sharma,Male,21,Bhubaneswar,Odisha,East,Consumer,12/1/2024
10168,Pooja,Malhotra,Male,44,Patna,Bihar,East,Consumer,9/15/2024
10169,Meera,Sen,Female,45,Bengaluru,Karnataka,South,Corporate,4/15/2025
10170,Meera,Jain,Male,62,Gurugram,Haryana,North,Consumer,5/16/2023
10171,Ananya,Dutta,Female,40,Bengaluru,Karnataka,South,Consumer,8/4/2024
10172,Kavya,Iyer,Female,42,New Delhi,Delhi,North,Consumer,6/3/2025
10173,Aarav,Sen,Female,56,Bengaluru,Karnataka,South,Consumer,8/20/2025
10174,Karan,Sen,Male,30,Gurugram,Haryana,North,Consumer,10/11/2025
10175,Amit,Nair,Female,21,Mumbai,Maharashtra,West,Consumer,8/17/2023
10176,Ananya,Sharma,Female,40,Kolkata,West Bengal,East,Corporate,7/6/2023
10177,Aarav,Patel,Female,47,Hyderabad,Telangana,South,Small Business,9/14/2024
10178,Riya,Ghosh,Female,41,Bhopal,Madhya Pradesh,Central,Consumer,5/14/2024
10179,Amit,Sharma,Male,51,Kochi,Kerala,South,Consumer,9/11/2023
10180,Karan,Gupta,Female,30,Lucknow,Uttar Pradesh,North,Small Business,4/21/2023
10181,Aarav,Ghosh,Male,18,Kochi,Kerala,South,Consumer,6/5/2023
10182,Vikram,Gupta,Female,55,Kochi,Kerala,South,Consumer,1/2/2024
10183,Kavya,Dutta,Female,58,New Delhi,Delhi,North,Consumer,3/9/2025
10184,Rahul,Reddy,Female,47,Bengaluru,Karnataka,South,Consumer,3/12/2023
10185,Karan,Sharma,Male,33,Lucknow,Uttar Pradesh,North,Consumer,4/24/2023
10186,Priya,Singh,Female,35,Jaipur,Rajasthan,North,Small Business,10/13/2023
10187,Priya,Dutta,Male,41,Chennai,Tamil Nadu,South,Consumer,8/1/2025
10188,Sneha,Sharma,Male,38,Kolkata,West Bengal,East,Consumer,12/5/2025
10189,Sneha,Banerjee,Female,28,Lucknow,Uttar Pradesh,North,Consumer,4/20/2024
10190,Ishita,Dutta,Male,35,Bengaluru,Karnataka,South,Consumer,2/18/2023
10191,Rahul,Mehta,Male,32,Gurugram,Haryana,North,Small Business,1/13/2023
10192,Sneha,Sen,Female,39,Bengaluru,Karnataka,South,Small Business,7/16/2025
10193,Karan,Sharma,Female,36,Mumbai,Maharashtra,West,Corporate,4/25/2024
10194,Sneha,Khan,Female,43,Bhubaneswar,Odisha,East,Consumer,3/25/2023
10195,Pooja,Iyer,Female,56,Mumbai,Maharashtra,West,Corporate,6/19/2025
10196,Aarav,Das,Female,33,Mumbai,Maharashtra,West,Consumer,7/25/2024
10197,Aarav,Iyer,Male,20,Ahmedabad,Gujarat,West,Consumer,1/13/2024
10198,Meera,Verma,Male,57,Kochi,Kerala,South,Consumer,5/3/2024
10199,Ishita,Sen,Female,26,Mumbai,Maharashtra,West,Consumer,9/1/2023
10200,Karan,Reddy,Female,62,Bengaluru,Karnataka,South,Consumer,10/3/2025
10201,Amit,Malhotra,Male,43,Lucknow,Uttar Pradesh,North,Corporate,4/30/2025
10202,Aarav,Nair,Male,43,Bhopal,Madhya Pradesh,Central,Small Business,8/3/2023
10203,Tanya,Mehta,Female,37,New Delhi,Delhi,North,Consumer,3/4/2025
10204,Aditya,Banerjee,Female,52,Mumbai,Maharashtra,West,Consumer,7/14/2023
10205,Meera,Das,Female,49,Kolkata,West Bengal,East,Consumer,5/4/2024
10206,Aditya,Sen,Female,62,Mumbai,Maharashtra,West,Consumer,3/19/2025
10207,Aditya,Sharma,Female,18,Mumbai,Maharashtra,West,Consumer,2/9/2023
10208,Karan,Khan,Female,27,Jaipur,Rajasthan,North,Consumer,2/22/2025
10209,Ananya,Banerjee,Male,31,Mumbai,Maharashtra,West,Consumer,9/2/2023
10210,Karan,Ghosh,Female,27,New Delhi,Delhi,North,Consumer,1/25/2025
10211,Tanya,Khan,Female,63,Jaipur,Rajasthan,North,Small Business,6/23/2024
10212,Karan,Gupta,Female,21,Ahmedabad,Gujarat,West,Corporate,1/29/2023
10213,Riya,Chatterjee,Male,23,Mumbai,Maharashtra,West,Consumer,4/2/2025
10214,Pooja,Singh,Female,39,Patna,Bihar,East,Consumer,10/8/2023
10215,Arjun,Patel,Female,30,Lucknow,Uttar Pradesh,North,Consumer,10/25/2025
10216,Aarav,Nair,Male,33,Lucknow,Uttar Pradesh,North,Consumer,6/26/2025
10217,Priya,Mehta,Other,46,Mumbai,Maharashtra,West,Corporate,7/28/2023
10218,Rohan,Malhotra,Female,44,Mumbai,Maharashtra,West,Consumer,10/10/2024
10219,Arjun,Chatterjee,Female,59,Ludhiana,Punjab,North,Consumer,1/26/2024
10220,Arjun,Dutta,Female,39,Chennai,Tamil Nadu,South,Consumer,10/12/2024
10221,Kavya,Nair,Male,62,Bengaluru,Karnataka,South,Corporate,8/24/2024
10222,Ishita,Bose,Female,27,Hyderabad,Telangana,South,Corporate,11/16/2023
10223,Ananya,Singh,Male,27,Jaipur,Rajasthan,North,Consumer,12/4/2024
10224,Aditya,Iyer,Female,36,Gurugram,Haryana,North,Small Business,10/8/2023
10225,Pooja,Dutta,Female,23,Bengaluru,Karnataka,South,Consumer,9/6/2025
10226,Amit,Jain,Female,19,Ludhiana,Punjab,North,Consumer,10/19/2025
10227,Priya,Verma,Female,35,Kolkata,West Bengal,East,Corporate,6/29/2023
10228,Ananya,Dutta,Female,43,New Delhi,Delhi,North,Consumer,2/24/2025
10229,Tanya,Sen,Male,31,Ahmedabad,Gujarat,West,Consumer,9/30/2025
10230,Karan,Sharma,Male,31,Kolkata,West Bengal,East,Consumer,5/18/2023
10231,Tanya,Jain,Male,22,Mumbai,Maharashtra,West,Consumer,3/9/2025
10232,Rohan,Verma,Female,23,Chennai,Tamil Nadu,South,Consumer,10/9/2025
10233,Aarav,Sharma,Female,60,Gurugram,Haryana,North,Consumer,9/1/2023
10234,Sneha,Roy,Female,21,Ahmedabad,Gujarat,West,Consumer,9/20/2024
10235,Rohan,Das,Male,51,Gurugram,Haryana,North,Consumer,5/11/2025
10236,Amit,Reddy,Female,52,Patna,Bihar,East,Consumer,12/27/2023
10237,Amit,Bose,Male,27,Hyderabad,Telangana,South,Corporate,9/14/2023
10238,Riya,Dutta,Other,29,Patna,Bihar,East,Small Business,3/4/2024
10239,Neha,Singh,Female,35,Kolkata,West Bengal,East,Consumer,12/29/2023
10240,Rohan,Bose,Female,49,Kolkata,West Bengal,East,Consumer,2/22/2025
10241,Karan,Mehta,Female,19,Bhubaneswar,Odisha,East,Consumer,2/5/2024
10242,Sneha,Gupta,Male,57,Patna,Bihar,East,Consumer,2/11/2024
10243,Vikram,Nair,Male,34,Mumbai,Maharashtra,West,Consumer,10/17/2025
10244,Amit,Reddy,Female,41,New Delhi,Delhi,North,Consumer,9/17/2024
10245,Priya,Banerjee,Female,61,Ahmedabad,Gujarat,West,Corporate,9/30/2025
10246,Ananya,Sharma,Male,24,Kochi,Kerala,South,Small Business,2/6/2025
10247,Amit,Bose,Male,63,Ahmedabad,Gujarat,West,Consumer,8/14/2025
10248,Nikhil,Singh,Female,47,Chennai,Tamil Nadu,South,Consumer,7/31/2023
10249,Aditya,Singh,Male,38,Chennai,Tamil Nadu,South,Corporate,10/10/2025
10250,Tanya,Ghosh,Male,21,Hyderabad,Telangana,South,Corporate,10/16/2025
10251,Ananya,Jain,Male,21,Jaipur,Rajasthan,North,Consumer,2/14/2023
10252,Sahil,Jain,Female,57,Kochi,Kerala,South,Consumer,1/20/2024
10253,Tanya,Malhotra,Male,37,Hyderabad,Telangana,South,Consumer,3/22/2024
10254,Priya,Malhotra,Male,54,Bengaluru,Karnataka,South,Consumer,3/28/2024
10255,Aarav,Patel,Male,57,Mumbai,Maharashtra,West,Corporate,4/20/2025
10256,Pooja,Sen,Male,37,Lucknow,Uttar Pradesh,North,Consumer,1/24/2025
10257,Meera,Chatterjee,Female,33,Patna,Bihar,East,Consumer,8/18/2023
10258,Riya,Khan,Male,30,Kolkata,West Bengal,East,Consumer,10/19/2024
10259,Karan,Chatterjee,Male,48,Kolkata,West Bengal,East,Consumer,11/18/2025
10260,Meera,Banerjee,Female,52,Ahmedabad,Gujarat,West,Small Business,4/20/2024
10261,Arjun,Banerjee,Female,34,Mumbai,Maharashtra,West,Consumer,9/29/2025
10262,Vikram,Sharma,Male,45,Bhubaneswar,Odisha,East,Corporate,12/2/2024
10263,Riya,Ghosh,Male,43,Bengaluru,Karnataka,South,Corporate,9/25/2025
10264,Ananya,Malhotra,Female,24,Mumbai,Maharashtra,West,Consumer,9/2/2025
10265,Ishita,Bose,Female,43,Ludhiana,Punjab,North,Consumer,1/19/2023
10266,Rohan,Sen,Female,54,Mumbai,Maharashtra,West,Consumer,5/14/2025
10267,Riya,Nair,Male,64,Bengaluru,Karnataka,South,Consumer,7/24/2023
10268,Sahil,Singh,Female,34,Mumbai,Maharashtra,West,Consumer,6/9/2025
10269,Rahul,Ghosh,Male,29,Kolkata,West Bengal,East,Consumer,5/22/2025
10270,Meera,Verma,Male,60,Kolkata,West Bengal,East,Consumer,10/7/2023
10271,Ananya,Dutta,Female,62,Kolkata,West Bengal,East,Small Business,3/13/2023
10272,Vikram,Chatterjee,Female,57,Mumbai,Maharashtra,West,Corporate,3/28/2024
10273,Amit,Das,Male,34,Kolkata,West Bengal,East,Corporate,11/24/2023
10274,Ishita,Malhotra,Male,31,Ahmedabad,Gujarat,West,Small Business,8/21/2024
10275,Aditya,Chatterjee,Female,47,Jaipur,Rajasthan,North,Corporate,3/30/2023
10276,Kavya,Roy,Male,30,Chennai,Tamil Nadu,South,Consumer,2/17/2023
10277,Arjun,Gupta,Male,54,Bengaluru,Karnataka,South,Consumer,4/17/2024
10278,Sahil,Singh,Male,37,New Delhi,Delhi,North,Corporate,4/11/2025
10279,Pooja,Sen,Male,33,Kochi,Kerala,South,Small Business,12/7/2023
10280,Kavya,Dutta,Female,56,Bhubaneswar,Odisha,East,Corporate,12/16/2023
10281,Aditya,Dutta,Male,35,Kolkata,West Bengal,East,Consumer,6/27/2023
10282,Sneha,Mehta,Female,24,Mumbai,Maharashtra,West,Corporate,11/2/2023
10283,Neha,Khan,Female,56,Mumbai,Maharashtra,West,Consumer,11/19/2023
10284,Karan,Khan,Male,33,Bengaluru,Karnataka,South,Consumer,10/8/2023
